"시도별(1)","설립주체별(1)",2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"시도별(1)","설립주체별(1)",유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),재취원아수 (명),재취원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),재취원아수 (명),재취원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),재취원아수 (명),재취원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),재취원아수 (명),재취원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),재취원아수 (명),재취원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),재취원아수 (명),재취원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),재취원아수 (명),재취원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개),유치원수 (개),학급수 (개),원아수 (명),원아수 (명),교원수 (명),교원수 (명),직원수 (명),직원수 (명),신입원아수 (명),신입원아수 (명),졸업원아수 (명),졸업원아수 (명),교실수 (개),교실수 (개),교실수 (개),교실수 (개),교실수 (개)
"시도별(1)","설립주체별(1)",소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,정규교실,가·대용교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,정규교실,가·대용교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실,소계,소계,소계,여자,소계,여자,소계,여자,소계,여자,소계,여자,소계,일반교실,교과교실,특별교실,수준별교실
"총계","계",8678,30597,658188,320647,46126,45373,8728,5559,323993,157329,333841,162960,522581,255059,26534,25886,648,8826,33041,652546,318150,48530,47599,4123,2573,313673,153651,337975,164399,532212,258997,28246,27572,674,8930,34075,682553,333072,50998,50145,4925,3185,332248,160367,352449,172332,474302,230763,31608,28682,733,2004,189,8987,35790,704138,345177,52923,52047,5637,3616,325099,159975,379395,186051,283440,137419,33392,30281,767,2162,182,9029,36470,694631,342070,53808,52922,7929,5276,308648,151853,391932,195647,280094,135675,34748,31737,554,2303,154,9021,37748,675998,333501,54892,53951,6423,3984,300596,148157,375285,184973,277280,135603,32724,30216,392,1982,134,8837,37268,633913,313065,53362,52490,5252,3116,288214,142317,345314,170751,270131,132195,31831,29342,383,1981,125,8705,36634,612538,302177,53651,52770,5036,2945,276338,136070,242349,119061,30894,28529,334,1912,119,8660,33381,582572,287693,53457,52558,4848,2762,254979,125659,225555,110546,30311,27992,319,1886,114,8562,33173,552812,272713,53696,52785,4864,2824,243721,119767,236392,115866,29996,27645,313,1927,111
"총계","국립",3,15,225,101,23,23,4,3,125,53,100,46,183,90,10,10,-,3,15,258,122,20,20,2,1,147,70,111,53,223,97,14,14,-,3,15,256,121,21,20,2,1,129,62,126,57,206,96,17,15,-,2,-,3,15,258,137,21,19,2,2,134,61,130,76,108,51,21,19,-,2,-,3,15,249,133,21,20,2,2,154,83,129,67,114,58,21,19,-,2,-,3,15,249,131,22,22,5,3,129,62,120,69,113,57,20,19,0,1,0,3,17,275,138,29,29,4,2,161,80,115,59,113,59,23,21,0,2,0,3,17,273,134,29,29,3,3,120,56,120,64,23,21,-,2,-,3,17,264,128,25,25,2,1,121,58,107,50,23,21,-,2,-,3,17,255,127,25,24,6,4,104,51,105,51,23,21,-,2,-
"총계","공립",4574,8205,141827,68216,10974,10948,1762,1431,91490,43783,50380,24444,149401,72713,2212,2190,22,4616,8678,148011,71228,11911,11745,616,301,89687,43261,58417,28149,137815,66303,2612,2565,47,4675,9268,161083,77449,12598,12537,805,420,93718,44913,67144,32417,128697,61987,3508,3092,79,321,16,4693,9795,170091,81983,13391,13326,890,469,94040,45292,75878,36644,85665,41108,4525,3900,111,491,23,4744,10380,172272,83283,14162,14087,1054,585,94244,45567,78919,38360,88344,42198,5452,4687,119,626,20,4798,10881,172121,83523,15847,15738,1119,654,92438,44944,80473,39001,89121,42949,3400,3051,28,315,6,4856,11578,177055,86057,17305,17181,1179,699,99130,48576,78257,37883,88098,42532,3725,3333,36,349,7,4973,12440,178628,86842,19080,18921,1331,801,97087,47163,86069,41740,4252,3845,29,368,10,5058,12995,177097,86266,20279,20094,1477,900,97790,47568,83281,40258,4941,4464,37,426,14,5113,13449,167230,80866,21318,21114,1620,1018,88833,42950,86052,41690,5615,5052,44,504,15
"총계","사립",4101,22377,516136,252330,35129,34402,6962,4125,232378,113493,283361,138470,372997,182256,24312,23686,626,4207,24348,504277,246800,36599,35834,3505,2271,223839,110320,279447,136197,394174,192597,25620,24993,627,4252,24792,521214,255502,38379,37588,4118,2764,238401,115392,285179,139858,345399,168680,28083,25575,654,1681,173,4291,25980,533789,263057,39511,38702,4745,3145,230925,114622,303387,149331,197667,96260,28846,26362,656,1669,159,4282,26075,522110,258654,39625,38815,6873,4689,214250,106203,312884,157220,191636,93419,29275,27031,435,1675,134,4220,26852,503628,249847,39023,38191,5299,3327,208029,103151,294692,145903,188046,92597,29304,27146,364,1666,128,3978,25673,456583,226870,36028,35280,4069,2415,188923,93661,266942,132809,181920,89604,28083,25988,347,1630,118,3729,24177,433637,215201,34542,33820,3702,2141,179131,88851,156160,77257,26619,24663,305,1542,109,3599,20369,405211,201299,33153,32439,3369,1861,157068,78033,142167,70238,25347,23507,282,1458,100,3446,19707,385327,191720,32353,31647,3238,1802,154784,76766,150235,74125,24358,22572,269,1421,96
"서울특별시","계",869,3829,92400,45337,6657,6573,1680,1054,43523,21389,48941,24027,71490,34982,3828,3687,141,884,4170,91195,44676,6651,6575,591,390,42518,20790,48750,23882,73823,36002,3962,3818,144,888,4275,91394,44862,6903,6818,716,484,41574,20389,49680,24416,67383,32784,4151,3757,119,228,47,879,4319,91026,44843,7023,6941,680,456,39998,19835,50637,24890,35502,17387,4114,3730,117,222,45,880,4360,88987,44040,7092,7007,790,518,38407,18896,55497,29869,33997,16401,4132,3813,64,220,35,876,4365,85213,42190,6958,6877,737,461,36672,18103,48534,24106,32369,15880,4051,3753,52,218,28,830,4200,78009,38568,6530,6455,665,422,34754,17096,42894,21261,30910,15103,3794,3513,55,204,22,795,4102,74657,36701,6517,6435,665,422,34183,16684,27493,13535,3594,3320,50,201,23,787,3704,69958,34553,6391,6306,648,409,30239,14926,24624,12120,3482,3221,43,196,22,788,3704,66524,32686,6446,6352,637,407,29237,14277,26558,13056,3372,3132,37,185,18
"서울특별시","국립",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서울특별시","공립",169,552,12027,5856,765,764,127,113,7345,3517,4719,2359,10776,5294,83,82,1,185,633,13552,6563,825,821,32,13,7739,3702,5842,2848,11853,5790,135,127,8,197,710,15107,7340,901,895,48,18,7979,3875,7084,3414,12005,5780,145,141,-,3,1,202,749,15480,7561,946,940,64,30,7748,3758,7585,3733,7128,3405,146,143,-,3,-,209,788,15003,7346,994,988,65,36,7170,3472,7828,3858,6932,3334,146,143,-,3,-,226,845,15366,7462,1046,1036,67,41,7865,3800,7562,3663,6643,3254,148,144,0,4,0,236,915,15889,7765,1150,1140,82,51,8293,4100,7528,3638,6850,3300,174,163,5,6,0,256,1098,17193,8322,1399,1386,127,78,8864,4265,7122,3448,309,289,5,15,-,274,1193,16724,8068,1522,1507,138,87,8448,4083,6795,3315,331,312,5,14,-,293,1269,15971,7637,1636,1616,139,90,7677,3690,7353,3540,357,337,5,15,-
"서울특별시","사립",700,3277,80373,39481,5892,5809,1553,941,36178,17872,44222,21668,60714,29688,3745,3605,140,699,3537,77643,38113,5826,5754,559,377,34779,17088,42908,21034,61970,30212,3827,3691,136,691,3565,76287,37522,6002,5923,668,466,33595,16514,42596,21002,55378,27004,4006,3616,119,225,46,677,3570,75546,37282,6077,6001,616,426,32250,16077,43052,21157,28374,13982,3968,3587,117,219,45,671,3572,73984,36694,6098,6019,725,482,31237,15424,47669,26011,27065,13067,3986,3670,64,217,35,650,3520,69847,34728,5912,5841,670,420,28807,14303,40972,20443,25726,12626,3903,3609,52,214,28,594,3285,62120,30803,5380,5315,583,371,26461,12996,35366,17623,24060,11803,3620,3350,50,198,22,539,3004,57464,28379,5118,5049,538,344,25319,12419,20371,10087,3285,3031,45,186,23,513,2511,53234,26485,4869,4799,510,322,21791,10843,17829,8805,3151,2909,38,182,22,495,2435,50553,25049,4810,4736,498,317,21560,10587,19205,9516,3015,2795,32,170,18
"부산광역시","계",383,1816,44217,21588,3137,3094,682,415,19996,9774,24063,11730,33833,16772,1904,1837,67,395,2013,43909,21435,3406,3352,300,232,20036,9900,23734,11466,34605,16793,1955,1899,56,403,1986,45175,22223,3478,3432,351,267,20249,9907,24306,12028,32587,15889,2125,1887,89,144,5,412,2046,46628,22915,3558,3508,346,252,20429,10020,25956,12764,17867,8728,2191,1957,77,152,5,417,2085,45853,22642,3672,3618,500,370,19868,9747,26089,12902,17677,8632,2323,2111,40,169,3,413,2162,44361,21727,3592,3534,292,186,18391,8900,25745,12657,17667,8694,2242,2070,36,133,3,408,2183,42240,20642,3519,3464,296,180,17938,8856,23910,11707,17721,8586,2205,2036,34,131,4,403,2145,40765,20026,3467,3412,285,173,17405,8606,15560,7666,2130,1968,28,130,4,397,1961,38651,19140,3428,3376,274,168,15759,7734,14997,7282,2055,1889,28,134,4,394,1956,36308,18012,3410,3353,265,168,15853,7808,15306,7445,2006,1840,26,136,4
"부산광역시","국립",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"부산광역시","공립",70,190,3871,1850,250,250,82,79,2186,1037,1665,814,3270,1614,76,76,-,76,216,4338,2066,278,276,18,14,2320,1104,1965,918,3731,1778,66,64,2,80,252,5272,2497,327,326,22,19,2992,1416,2266,1072,3722,1762,107,84,6,17,-,92,304,6263,2988,379,377,28,24,3383,1637,2864,1346,2318,1093,161,129,6,26,-,99,341,6924,3386,437,436,41,31,3574,1761,3328,1614,2582,1232,238,197,-,41,-,99,350,6990,3376,456,455,44,37,3175,1490,3772,1873,2953,1422,173,155,0,18,0,102,378,7412,3537,548,546,43,35,3706,1817,3658,1756,3009,1462,180,160,0,19,1,116,454,8201,3973,669,664,56,45,4173,2028,3167,1505,226,203,-,22,1,121,488,8063,3900,731,724,64,51,3783,1803,3476,1684,241,214,-,26,1,136,565,7921,3848,882,876,74,60,3986,1934,3628,1724,313,275,-,37,1
"부산광역시","사립",313,1626,40346,19738,2887,2844,600,336,17810,8737,22398,10916,30563,15158,1828,1761,67,319,1797,39571,19369,3128,3076,282,218,17716,8796,21769,10548,30874,15015,1889,1835,54,323,1734,39903,19726,3151,3106,329,248,17257,8491,22040,10956,28865,14127,2018,1803,83,127,5,320,1742,40365,19927,3179,3131,318,228,17046,8383,23092,11418,15549,7635,2030,1828,71,126,5,318,1744,38929,19256,3235,3182,459,339,16294,7986,22761,11288,15095,7400,2085,1914,40,128,3,314,1812,37371,18351,3136,3079,248,149,15216,7410,21973,10784,14714,7272,2069,1915,36,115,3,306,1805,34828,17105,2971,2918,253,145,14232,7039,20252,9951,14712,7124,2025,1876,34,112,3,287,1691,32564,16053,2798,2748,229,128,13232,6578,12393,6161,1904,1765,28,108,3,276,1473,30588,15240,2697,2652,210,117,11976,5931,11521,5598,1814,1675,28,108,3,258,1391,28387,14164,2528,2477,191,108,11867,5874,11678,5721,1693,1565,26,99,3
"대구광역시","계",361,1471,34550,16715,2538,2468,405,257,18116,8693,16217,7951,24244,11770,1397,1363,34,375,1690,34554,16617,2741,2656,147,102,17820,8722,16789,8005,27807,13463,1586,1538,48,392,1834,36951,17900,2946,2857,255,177,18575,8982,18184,8795,27067,12904,1902,1672,33,183,14,375,1884,38865,19061,3064,2975,155,101,18648,9177,19837,9670,15131,7225,2044,1794,33,206,11,370,1935,38936,19154,3002,2921,193,128,18102,8839,20596,10162,15714,7509,2135,1853,31,243,8,369,1968,38475,19019,3023,2941,282,211,17434,8659,21090,10380,16175,7969,2168,1870,33,257,8,355,1908,36185,17962,2928,2854,266,186,16687,8216,19418,9691,15901,7818,2078,1800,25,241,12,346,1893,35651,17597,2828,2757,245,160,16124,7920,14162,7046,2019,1751,26,230,12,342,1680,33958,16842,2938,2877,248,154,14643,7313,13721,6731,1958,1701,24,221,12,329,1628,32272,16159,2879,2806,231,147,14293,7139,13697,6719,1869,1614,22,221,12
"대구광역시","국립",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"대구광역시","공립",128,225,4167,1974,298,297,11,9,2933,1364,1240,613,4092,2022,16,16,-,126,232,4591,2146,339,332,10,9,3086,1439,1529,716,4349,2042,34,34,-,126,231,4897,2331,379,377,10,9,2842,1341,2071,1007,4446,2077,39,34,-,5,-,107,269,5692,2754,419,417,26,19,3694,1810,2015,955,2434,1170,146,111,5,30,-,104,311,6415,3135,381,380,39,32,3958,1875,2400,1221,2957,1384,227,164,5,58,-,105,326,6720,3248,441,440,40,37,3651,1777,3025,1457,3443,1693,248,179,5,64,0,111,384,7499,3695,532,531,43,37,4279,2104,3176,1568,3503,1689,278,218,4,56,0,113,402,7286,3569,598,596,42,34,3718,1798,3506,1722,281,219,4,58,-,115,426,7186,3548,659,657,48,39,3893,1940,3424,1670,307,244,4,59,-,116,430,6366,3118,662,657,50,44,3407,1650,3389,1649,322,251,4,67,-
"대구광역시","사립",233,1246,30383,14741,2240,2171,394,248,15183,7329,14977,7338,20152,9748,1381,1347,34,249,1458,29963,14471,2402,2324,137,93,14734,7283,15260,7289,23458,11421,1552,1504,48,266,1603,32054,15569,2567,2480,245,168,15733,7641,16113,7788,22621,10827,1863,1638,33,178,14,268,1615,33173,16307,2645,2558,129,82,14954,7367,17822,8715,12697,6055,1898,1683,28,176,11,266,1624,32521,16019,2621,2541,154,96,14144,6964,18196,8941,12757,6125,1908,1689,26,185,8,264,1642,31755,15771,2582,2501,242,174,13783,6882,18065,8923,12732,6276,1920,1691,28,193,8,244,1524,28686,14267,2396,2323,223,149,12408,6112,16242,8123,12398,6129,1800,1582,21,185,12,233,1491,28365,14028,2230,2161,203,126,12406,6122,10656,5324,1738,1532,22,172,12,227,1254,26772,13294,2279,2220,200,115,10750,5373,10297,5061,1651,1457,20,162,12,213,1198,25906,13041,2217,2149,181,103,10886,5489,10308,5070,1547,1363,18,154,12
"인천광역시","계",411,1830,41594,20303,2644,2613,693,457,21371,10450,20247,9844,32822,16007,1683,1639,44,412,1995,40369,19798,2685,2654,389,243,18991,9321,21229,10458,37530,18455,1708,1683,25,418,2098,42389,20813,2901,2871,443,270,20685,10118,21512,10600,23093,11319,1854,1754,12,78,10,427,2223,44625,21954,2989,2958,444,261,20669,10121,23993,11887,17494,8518,1967,1851,21,84,11,430,2117,44009,21809,3042,2999,505,344,19791,9891,24649,12296,17543,8540,1996,1879,14,93,10,423,2276,42324,21067,3095,3057,314,188,19195,9594,22826,11289,17330,8499,1989,1870,12,97,10,403,2172,39373,19501,2853,2819,256,140,17905,8803,21213,10562,16627,8248,1876,1758,15,93,10,404,2119,38319,18913,2920,2882,270,155,17103,8458,14852,7336,1802,1694,8,91,9,399,1936,36170,17984,2891,2849,283,162,15576,7744,13548,6654,1759,1655,6,89,9,396,1951,35427,17570,2909,2863,293,177,15395,7600,14607,7092,1753,1650,5,89,9
"인천광역시","국립",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"인천광역시","공립",152,373,8118,3918,454,454,194,177,6375,3092,1785,860,6601,3173,73,73,-,154,399,8375,4047,477,476,31,21,5333,2571,3020,1472,8031,3890,74,74,-,156,428,8879,4298,512,511,42,29,5401,2601,3354,1635,7503,3639,108,92,-,16,-,161,454,9637,4618,548,546,40,26,5669,2676,4017,1996,5277,2526,109,92,-,17,-,165,491,10078,4795,591,587,52,36,5953,2868,4280,2030,5288,2550,145,118,-,27,-,167,512,9980,4831,631,627,52,35,5701,2811,4281,2030,5516,2631,145,118,0,27,0,169,537,10068,4881,646,642,46,30,5945,2914,4037,1935,5366,2603,147,120,0,27,0,180,577,9531,4541,713,705,46,32,5279,2514,5205,2565,147,121,-,26,-,186,625,9308,4586,769,762,52,37,5584,2773,4527,2143,178,152,-,26,-,191,685,8589,4197,846,838,60,45,4736,2384,4721,2268,226,197,-,29,-
